train_no,journey_date,station_seq,station_code,delay_min,reporting_lag_min,scheduled_count
12295,2025-11-23,7,PNBE,29.8,0,8
12295,2025-11-23,8,HWH,28.3,0,13
12295,2025-11-23,9,BCT,26.3,0,15
12295,2025-11-23,10,BRC,24.3,0,3
12951,2025-12-05,1,GZB,39.1,18,12
12951,2025-12-05,2,ALJN,35.3,29,3
12951,2025-12-05,3,TDL,33.0,0,15
12951,2025-12-05,4,CNB,40.5,0,4
12951,2025-12-05,5,PRYJ,43.1,0,12
12951,2025-12-05,6,DDU,40.5,0,14
12951,2025-12-05,7,PNBE,48.6,0,5
12951,2025-12-05,8,HWH,60.1,0,10
12951,2025-12-05,9,BCT,55.5,0,17
12951,2025-12-05,10,BRC,60.5,0,10
12951,2025-12-05,11,RTM,65.8,0,2
12004,2025-10-11,1,GZB,0.0,16,16
12004,2025-10-11,2,ALJN,0.0,0,10
12004,2025-10-11,3,TDL,0.0,0,9
12004,2025-10-11,4,CNB,0.0,0,2
12004,2025-10-11,5,PRYJ,0.0,0,7
12004,2025-10-11,6,DDU,0.0,0,15
12004,2025-10-11,7,PNBE,0.0,0,12
12004,2025-10-11,8,HWH,0.0,0,13
12004,2025-10-11,9,BCT,0.0,32,17
12004,2025-10-11,10,BRC,0.0,0,15
12004,2025-10-11,11,RTM,0.0,11,14
12004,2025-10-11,12,KOTA,0.0,8,10
12004,2025-10-11,13,MAS,0.0,0,5
12004,2025-10-11,14,SBC,0.0,0,11
12004,2025-10-11,15,NDLS,0.7,26,4
12004,2025-10-11,16,GZB,2.3,0,17
12004,2025-10-11,17,ALJN,3.6,0,17
12004,2025-10-11,18,TDL,7.4,30,5
12953,2025-12-27,1,GZB,7.8,0,9
12953,2025-12-27,2,ALJN,16.6,0,7
12953,2025-12-27,3,TDL,20.2,0,6
12953,2025-12-27,4,CNB,14.9,0,4
12953,2025-12-27,5,PRYJ,15.9,21,2
12953,2025-12-27,6,DDU,16.9,0,6
12953,2025-12-27,7,PNBE,12.8,0,9
12953,2025-12-27,8,HWH,17.1,0,13
12953,2025-12-27,9,BCT,14.5,0,5
12953,2025-12-27,10,BRC,9.0,0,10
12004,2025-12-18,1,GZB,0.0,0,12
12004,2025-12-18,2,ALJN,0.0,0,5
12004,2025-12-18,3,TDL,0.0,0,16
12004,2025-12-18,4,CNB,0.0,22,2
12004,2025-12-18,5,PRYJ,0.0,0,10
12004,2025-12-18,6,DDU,0.0,0,11
12004,2025-12-18,7,PNBE,0.0,0,16
12004,2025-12-18,8,HWH,0.0,0,7
12004,2025-12-18,9,BCT,0.0,0,6
12004,2025-12-18,10,BRC,2.3,10,17
12004,2025-12-18,11,RTM,7.0,5,5
12004,2025-12-18,12,KOTA,11.7,0,16
12004,2025-12-18,13,MAS,15.4,0,2
12004,2025-12-18,14,SBC,14.6,0,12
12004,2025-12-18,15,NDLS,7.7,0,4
12004,2025-12-18,16,GZB,8.8,0,13
12004,2025-12-18,17,ALJN,7.7,0,9
12004,2025-12-18,18,TDL,12.1,0,2
12952,2025-12-10,1,GZB,8.6,0,8
12952,2025-12-10,2,ALJN,7.8,0,16
12952,2025-12-10,3,TDL,1.6,0,16
12952,2025-12-10,4,CNB,2.6,0,2
12952,2025-12-10,5,PRYJ,0.0,0,17
12952,2025-12-10,6,DDU,0.0,0,3
12952,2025-12-10,7,PNBE,0.0,0,6
12952,2025-12-10,8,HWH,0.0,19,5
12952,2025-12-10,9,BCT,0.0,0,7
12952,2025-12-10,10,BRC,0.0,31,8
12952,2025-12-10,11,RTM,0.0,0,7
12952,2025-12-10,12,KOTA,0.0,0,12
12952,2025-12-10,13,MAS,0.0,0,16
12952,2025-12-10,14,SBC,0.0,9,7
12952,2025-12-10,15,NDLS,0.0,0,12
12952,2025-12-10,16,GZB,0.0,0,4
12723,2025-10-20,1,GZB,35.7,0,11
12723,2025-10-20,2,ALJN,37.9,0,2
12723,2025-10-20,3,TDL,33.0,0,7
12723,2025-10-20,4,CNB,27.6,0,16
12723,2025-10-20,5,PRYJ,23.0,11,5
12723,2025-10-20,6,DDU,22.6,0,16
12723,2025-10-20,7,PNBE,24.0,12,13
12723,2025-10-20,8,HWH,27.7,0,7
12723,2025-10-20,9,BCT,23.3,0,7
12723,2025-10-20,10,BRC,20.2,0,13
12723,2025-10-20,11,RTM,24.6,0,9
12723,2025-10-20,12,KOTA,25.8,0,7
12723,2025-10-20,13,MAS,18.7,0,9
12723,2025-10-20,14,SBC,24.7,0,14
12723,2025-10-20,15,NDLS,34.0,27,7
12723,2025-10-20,16,GZB,41.3,0,11
12723,2025-10-20,17,ALJN,43.9,0,15
12723,2025-10-20,18,TDL,45.4,0,12
12723,2025-10-20,19,CNB,38.2,0,4
12723,2025-10-20,20,PRYJ,44.3,0,16
12723,2025-10-20,21,DDU,36.2,0,5
12723,2025-10-20,22,PNBE,45.3,0,2
12723,2025-10-20,23,HWH,52.8,0,17
12723,2025-10-20,24,BCT,49.9,0,6
12423,2025-10-08,1,GZB,0.0,0,13
12423,2025-10-08,2,ALJN,4.3,14,9
12423,2025-10-08,3,TDL,10.6,27,13
12423,2025-10-08,4,CNB,7.5,0,11
12423,2025-10-08,5,PRYJ,15.7,0,17
12423,2025-10-08,6,DDU,17.0,0,8
12423,2025-10-08,7,PNBE,24.0,0,17
12423,2025-10-08,8,HWH,35.4,0,4
12423,2025-10-08,9,BCT,32.0,0,11
12423,2025-10-08,10,BRC,30.6,20,14
12423,2025-10-08,11,RTM,41.4,0,3
12423,2025-10-08,12,KOTA,37.4,0,3
12423,2025-10-08,13,MAS,38.0,0,16
12423,2025-10-08,14,SBC,37.0,0,2
12423,2025-10-08,15,NDLS,35.7,21,13
12423,2025-10-08,16,GZB,37.0,0,16
12423,2025-10-08,17,ALJN,33.1,0,10
12423,2025-10-08,18,TDL,35.3,0,6
12001,2025-11-09,1,GZB,0.0,0,17
12001,2025-11-09,2,ALJN,0.0,0,13
12001,2025-11-09,3,TDL,0.0,23,8
12001,2025-11-09,4,CNB,0.0,9,12
12001,2025-11-09,5,PRYJ,3.7,0,15
12001,2025-11-09,6,DDU,8.3,0,5
12001,2025-11-09,7,PNBE,11.6,0,6
12001,2025-11-09,8,HWH,11.6,0,17
12001,2025-11-09,9,BCT,12.0,0,7
12001,2025-11-09,10,BRC,13.1,21,5
12001,2025-11-09,11,RTM,21.1,0,10
12001,2025-11-09,12,KOTA,22.4,0,12
12001,2025-11-09,13,MAS,25.3,0,11
12001,2025-11-09,14,SBC,30.4,0,4
12423,2025-11-11,1,GZB,4.7,18,2
12423,2025-11-11,2,ALJN,13.8,0,4
12423,2025-11-11,3,TDL,9.0,0,8
12423,2025-11-11,4,CNB,7.0,0,15
12423,2025-11-11,5,PRYJ,11.9,0,6
12423,2025-11-11,6,DDU,7.1,10,16
12423,2025-11-11,7,PNBE,4.7,0,16
12423,2025-11-11,8,HWH,8.4,28,16
12423,2025-11-11,9,BCT,14.4,0,3
12423,2025-11-11,10,BRC,15.1,0,10
12423,2025-11-11,11,RTM,12.5,0,9
12423,2025-11-11,12,KOTA,14.1,24,4
12423,2025-11-11,13,MAS,15.6,0,15
12423,2025-11-11,14,SBC,16.0,0,5
12423,2025-11-11,15,NDLS,22.3,0,8
12423,2025-11-11,16,GZB,18.9,0,5
22416,2025-11-04,1,GZB,80.8,0,8
22416,2025-11-04,2,ALJN,86.0,11,12
22416,2025-11-04,3,TDL,84.6,18,12
22416,2025-11-04,4,CNB,85.9,26,10
22416,2025-11-04,5,PRYJ,82.8,0,11
22416,2025-11-04,6,DDU,86.9,0,7
22416,2025-11-04,7,PNBE,94.6,0,4
22416,2025-11-04,8,HWH,95.4,0,13
22416,2025-11-04,9,BCT,100.1,0,13
22416,2025-11-04,10,BRC,109.6,0,9
22416,2025-11-04,11,RTM,112.8,0,8
12295,2025-10-26,1,GZB,0.0,23,16
12295,2025-10-26,2,ALJN,0.0,0,8
12295,2025-10-26,3,TDL,0.0,0,15
12295,2025-10-26,4,CNB,0.0,20,14
12295,2025-10-26,5,PRYJ,2.1,16,16
12295,2025-10-26,6,DDU,13.5,0,10
12295,2025-10-26,7,PNBE,17.0,26,7
12295,2025-10-26,8,HWH,16.5,9,5
12295,2025-10-26,9,BCT,17.7,0,16
12295,2025-10-26,10,BRC,20.9,0,13
12295,2025-10-26,11,RTM,27.4,0,5
12295,2025-10-26,12,KOTA,39.1,0,6
12295,2025-10-26,13,MAS,37.6,0,17
12295,2025-10-26,14,SBC,30.4,0,9
12295,2025-10-26,15,NDLS,29.7,25,10
12295,2025-10-26,16,GZB,28.7,0,15
12295,2025-10-26,17,ALJN,30.5,0,10
12295,2025-10-26,18,TDL,29.3,0,16
12295,2025-10-26,19,CNB,34.8,0,15
12952,2025-12-26,1,GZB,0.0,23,12
12952,2025-12-26,2,ALJN,0.0,0,14
12952,2025-12-26,3,TDL,0.0,0,3
12952,2025-12-26,4,CNB,0.0,0,10
12952,2025-12-26,5,PRYJ,0.0,0,15
12952,2025-12-26,6,DDU,0.0,0,9
12952,2025-12-26,7,PNBE,0.0,0,16
12952,2025-12-26,8,HWH,0.0,0,13
12952,2025-12-26,9,BCT,0.1,0,13
12952,2025-12-26,10,BRC,0.0,0,6
12952,2025-12-26,11,RTM,0.0,0,9
12952,2025-12-26,12,KOTA,0.0,0,2
12952,2025-12-26,13,MAS,0.0,0,9
12952,2025-12-26,14,SBC,1.5,0,12
12952,2025-12-26,15,NDLS,5.8,0,6
12952,2025-12-26,16,GZB,6.0,0,4
12952,2025-12-26,17,ALJN,8.0,19,2
12952,2025-12-26,18,TDL,22.7,0,11
12952,2025-12-26,19,CNB,22.7,0,16
12952,2025-12-26,20,PRYJ,22.9,20,5
12137,2025-12-20,1,GZB,44.0,0,2
12137,2025-12-20,2,ALJN,45.7,0,16
12137,2025-12-20,3,TDL,46.2,0,6
12137,2025-12-20,4,CNB,54.2,0,6
12137,2025-12-20,5,PRYJ,53.3,0,12
12137,2025-12-20,6,DDU,52.5,0,14
12137,2025-12-20,7,PNBE,55.4,0,4
12137,2025-12-20,8,HWH,58.7,33,3
12137,2025-12-20,9,BCT,59.4,8,8
12137,2025-12-20,10,BRC,64.0,14,10
12137,2025-12-20,11,RTM,69.3,0,3
12137,2025-12-20,12,KOTA,67.8,0,15
12137,2025-12-20,13,MAS,65.2,0,14
12137,2025-12-20,14,SBC,65.2,15,8
12137,2025-12-20,15,NDLS,72.4,0,16
12137,2025-12-20,16,GZB,72.2,29,12
12953,2025-11-09,1,GZB,0.0,0,11
12953,2025-11-09,2,ALJN,0.0,0,7
12953,2025-11-09,3,TDL,0.0,30,7
12953,2025-11-09,4,CNB,0.0,0,3
12953,2025-11-09,5,PRYJ,0.0,0,7
12953,2025-11-09,6,DDU,0.0,26,8
12953,2025-11-09,7,PNBE,3.0,0,7
12953,2025-11-09,8,HWH,2.3,0,15
12953,2025-11-09,9,BCT,4.4,0,3
12953,2025-11-09,10,BRC,4.9,21,7
12953,2025-11-09,11,RTM,6.7,19,5
12953,2025-11-09,12,KOTA,6.5,0,4
12953,2025-11-09,13,MAS,9.5,0,15
12953,2025-11-09,14,SBC,15.3,0,12
12953,2025-11-09,15,NDLS,21.0,0,5
12953,2025-11-09,16,GZB,23.7,0,14
12953,2025-11-09,17,ALJN,17.2,0,9
12953,2025-11-09,18,TDL,17.6,0,8
12953,2025-11-09,19,CNB,21.8,0,16
12807,2025-10-20,1,GZB,0.0,0,12
12807,2025-10-20,2,ALJN,0.0,0,6
12807,2025-10-20,3,TDL,0.3,0,5
12807,2025-10-20,4,CNB,0.0,0,7
12807,2025-10-20,5,PRYJ,0.0,15,12
12807,2025-10-20,6,DDU,4.2,0,2
12807,2025-10-20,7,PNBE,3.6,0,14
12807,2025-10-20,8,HWH,9.3,0,8
12807,2025-10-20,9,BCT,7.2,0,15
12807,2025-10-20,10,BRC,9.5,19,10
12807,2025-10-20,11,RTM,8.0,0,11
12807,2025-10-20,12,KOTA,10.7,0,13
12807,2025-10-20,13,MAS,18.5,9,2
12807,2025-10-20,14,SBC,18.6,0,7
12807,2025-10-20,15,NDLS,9.1,0,4
12807,2025-10-20,16,GZB,8.6,0,9
12807,2025-10-20,17,ALJN,6.7,0,12
12807,2025-10-20,18,TDL,11.2,0,7
12807,2025-10-20,19,CNB,8.7,28,3
12807,2025-10-20,20,PRYJ,19.7,0,12
12807,2025-10-20,21,DDU,22.3,0,6
12807,2025-10-20,22,PNBE,26.7,0,12
12305,2025-10-25,1,GZB,0.0,34,15
12305,2025-10-25,2,ALJN,0.0,28,11
12305,2025-10-25,3,TDL,0.0,0,12
12305,2025-10-25,4,CNB,0.0,32,3
12305,2025-10-25,5,PRYJ,0.0,0,3
12305,2025-10-25,6,DDU,0.0,0,16
12305,2025-10-25,7,PNBE,0.0,0,12
12305,2025-10-25,8,HWH,0.0,0,6
12305,2025-10-25,9,BCT,0.0,23,4
12305,2025-10-25,10,BRC,0.0,0,10
12305,2025-10-25,11,RTM,0.0,0,14
12305,2025-10-25,12,KOTA,0.0,0,3
12305,2025-10-25,13,MAS,1.7,30,17
12305,2025-10-25,14,SBC,4.5,0,9
12305,2025-10-25,15,NDLS,7.1,0,11
12305,2025-10-25,16,GZB,6.2,0,8
12002,2025-11-14,1,GZB,0.0,0,14
12002,2025-11-14,2,ALJN,0.0,0,10
12002,2025-11-14,3,TDL,0.0,0,9
12002,2025-11-14,4,CNB,0.0,0,13
12002,2025-11-14,5,PRYJ,0.0,11,12
12002,2025-11-14,6,DDU,0.4,0,2
12002,2025-11-14,7,PNBE,8.5,0,13
12002,2025-11-14,8,HWH,9.2,0,5
12002,2025-11-14,9,BCT,8.9,33,9
12002,2025-11-14,10,BRC,14.7,0,14
12953,2025-10-09,1,GZB,0.6,22,13
12953,2025-10-09,2,ALJN,0.0,0,5
12953,2025-10-09,3,TDL,0.0,0,15
12953,2025-10-09,4,CNB,0.0,27,10
12953,2025-10-09,5,PRYJ,0.0,0,11
12953,2025-10-09,6,DDU,0.0,0,17
12953,2025-10-09,7,PNBE,0.7,0,10
12953,2025-10-09,8,HWH,0.8,0,6
12953,2025-10-09,9,BCT,6.0,23,9
12953,2025-10-09,10,BRC,4.5,0,3
12953,2025-10-09,11,RTM,4.2,0,7
12953,2025-10-09,12,KOTA,0.0,0,9
12953,2025-10-09,13,MAS,0.0,0,8
12953,2025-10-09,14,SBC,0.0,0,17
12953,2025-10-09,15,NDLS,0.0,0,9
12953,2025-10-09,16,GZB,0.0,0,5
12953,2025-10-09,17,ALJN,0.0,0,16
12953,2025-10-09,18,TDL,0.0,0,10
22415,2025-12-12,1,GZB,3.9,0,10
22415,2025-12-12,2,ALJN,1.4,0,17
22415,2025-12-12,3,TDL,10.7,0,10
22415,2025-12-12,4,CNB,13.8,28,3
22415,2025-12-12,5,PRYJ,22.5,0,14
22415,2025-12-12,6,DDU,29.5,13,14
22415,2025-12-12,7,PNBE,34.1,0,8
22415,2025-12-12,8,HWH,39.3,23,3
22415,2025-12-12,9,BCT,46.7,7,15
22415,2025-12-12,10,BRC,47.4,11,15
22415,2025-12-12,11,RTM,42.6,32,13
22415,2025-12-12,12,KOTA,46.2,0,10
22415,2025-12-12,13,MAS,43.8,0,10
22415,2025-12-12,14,SBC,38.5,0,11
22415,2025-12-12,15,NDLS,38.5,0,13
22415,2025-12-12,16,GZB,43.0,0,2
22415,2025-12-12,17,ALJN,45.9,0,7
22415,2025-12-12,18,TDL,47.1,9,15
22415,2025-12-12,19,CNB,45.4,0,6
22415,2025-12-12,20,PRYJ,42.8,0,8
22415,2025-12-12,21,DDU,37.9,28,17
22415,2025-12-12,22,PNBE,42.4,0,13
22415,2025-12-12,23,HWH,52.2,0,12
12626,2025-11-10,1,GZB,0.0,28,9
12626,2025-11-10,2,ALJN,0.0,0,5
